Year,Round,Region Number,Region Name,Seed,ScoreA,TeamA,TeamB,ScoreB,Seed,teamDiff,oppDiff
2011,1,3,Southwest,5,66,Vanderbilt,Richmond,69,12,-3,3
2011,1,3,Southwest,6,56,Georgetown,VCU,74,11,-18,18
2011,1,3,Southwest,7,50,Texas A&M,Florida St,57,10,-7,7
2011,1,3,Southwest,8,62,UNLV,Illinois,73,9,-11,11
2011,1,4,Southeast,1,74,Pittsburgh,UNC Asheville,51,16,23,-23
2011,1,4,Southeast,2,79,Florida,Santa Barbara,51,15,28,-28
2011,1,4,Southeast,3,74,BYU,Wofford,66,14,8,-8
2011,1,4,Southeast,4,72,Wisconsin,Belmont,58,13,14,-14
2011,1,4,Southeast,5,73,Kansas St,Utah St,68,12,5,-5
2011,1,4,Southeast,6,71,St Johns,Gonzaga,86,11,-15,15
2011,1,4,Southeast,7,78,UCLA,Michigan St,76,10,2,-2
2011,1,4,Southeast,8,60,Butler,Old Dominion,58,9,2,-2
2011,2,1,East,1,98,Ohio St,George Mason,66,8,32,-32
2011,2,1,East,2,86,North Carolina,Washington,83,7,3,-3
2011,2,1,East,3,62,Syracuse,Marquette,66,11,-4,4
2011,2,1,East,4,71,Kentucky,West Virginia,63,5,8,-8
2011,2,2,West,1,73,Duke,Michigan,71,8,2,-2
2011,2,2,West,2,71,San Diego St,Temple,64,7,7,-7
2011,2,2,West,3,69,Connecticut,Cincinnati,58,6,11,-11
2011,2,2,West,4,69,Texas,Arizona,70,5,-1,1
2011,2,3,Southwest,1,73,Kansas,Illinois,59,9,14,-14
2011,2,3,Southwest,2,57,Notre Dame,Florida St,71,10,-14,14
2011,2,3,Southwest,3,76,Purdue,VCU,94,11,-18,18
2011,2,3,Southwest,13,48,Morehead St,Richmond,65,12,-17,17
2011,2,4,Southeast,1,70,Pittsburgh,Butler,71,8,-1,1
2011,2,4,Southeast,2,73,Florida,UCLA,65,7,8,-8
2011,2,4,Southeast,3,89,BYU,Gonzaga,67,11,22,-22
2011,2,4,Southeast,4,70,Wisconsin,Kansas St,65,5,5,-5
2011,3,1,East,1,60,Ohio St,Kentucky,62,4,-2,2
2011,3,1,East,2,81,North Carolina,Marquette,63,11,18,-18
2011,3,2,West,1,77,Duke,Arizona,93,5,-16,16
2011,3,2,West,2,67,San Diego St,Connecticut,74,3,-7,7
2011,3,3,Southwest,1,77,Kansas,Richmond,57,12,20,-20
2011,3,3,Southwest,10,71,Florida St,VCU,72,11,-1,1
2011,3,4,Southeast,8,61,Butler,Wisconsin,54,4,7,-7
2011,3,4,Southeast,2,83,Florida,BYU,74,3,9,-9
2011,4,1,East,4,76,Kentucky,North Carolina,69,2,7,-7
2011,4,2,West,5,63,Arizona,Connecticut,65,3,-2,2
2011,4,3,Southwest,1,61,Kansas,VCU,71,11,-10,10
2011,4,4,Southeast,8,74,Butler,Florida,71,2,3,-3
2011,5,1,Final Four,4,55,Kentucky,Connecticut,56,3,-1,1
2011,5,2,Final Four,11,62,VCU,Butler,70,8,-8,8
2011,6,1,Championship,3,53,Connecticut,Butler,41,8,12,-12
2012,1,1,South,1,81,Kentucky,Western Kentucky,66,16,15,-15
2012,1,1,South,2,70,Duke,Lehigh,75,15,-5,5
2012,1,1,South,3,68,Baylor,South Dakota St,60,14,8,-8
2012,1,1,South,4,79,Indiana,New Mexico St,66,13,13,-13
2012,1,1,South,5,59,Wichita St,VCU,62,12,-3,3
2012,1,1,South,6,64,UNLV,Colorado,68,11,-4,4
2012,1,1,South,7,63,Notre Dame,Xavier,67,10,-4,4
2012,1,1,South,8,77,Iowa St,Connecticut,64,9,13,-13
2012,1,2,West,1,89,Michigan St,Long Island Brooklyn,67,16,22,-22
2012,1,2,West,2,84,Missouri,Norfolk St,86,15,-2,2
2012,1,2,West,3,88,Marquette,BYU,68,14,20,-20
2012,1,2,West,4,69,Louisville,Davidson,62,13,7,-7
2012,1,2,West,5,75,New Mexico,Long Beach St,68,12,7,-7
2012,1,2,West,6,58,Murray St,Colorado St,41,11,17,-17
2012,1,2,West,7,71,Florida,Virginia,45,10,26,-26
2012,1,2,West,8,54,Memphis,St Louis,61,9,-7,7
2012,1,3,East,1,72,Syracuse,UNC Asheville,65,16,7,-7
2012,1,3,East,2,78,Ohio St,Loyola Maryland,59,15,19,-19
2012,1,3,East,3,86,Florida St,St Bonaventure,63,14,23,-23
2012,1,3,East,4,73,Wisconsin,Montana,49,13,24,-24
2012,1,3,East,5,79,Vanderbilt,Harvard,70,12,9,-9
2012,1,3,East,6,65,Cincinnati,Texas,59,11,6,-6
2012,1,3,East,7,77,Gonzaga,West Virginia,54,10,23,-23
2012,1,3,East,8,70,Kansas St,Southern Mississippi,64,9,6,-6
2012,1,4,Midwest,1,77,North Carolina,Vermont,58,16,19,-19
2012,1,4,Midwest,2,65,Kansas,Detroit,50,15,15,-15
2012,1,4,Midwest,3,74,Georgetown,Belmont,59,14,15,-15
2012,1,4,Midwest,4,60,Michigan,Ohio,65,13,-5,5
2012,1,4,Midwest,5,44,Temple,South Florida,58,12,-14,14
2012,1,4,Midwest,6,65,San Diego St,NC State,79,11,-14,14
2012,1,4,Midwest,7,69,St Marys,Purdue,72,10,-3,3
2012,1,4,Midwest,8,58,Creighton,Alabama,57,9,1,-1
2012,2,1,South,1,87,Kentucky,Iowa St,71,8,16,-16
2012,2,1,South,15,58,Lehigh,Xavier,70,10,-12,12
2012,2,1,South,3,80,Baylor,Colorado,63,11,17,-17
2012,2,1,South,4,63,Indiana,VCU,61,12,2,-2
2012,2,2,West,1,65,Michigan St,St Louis,61,9,4,-4
2012,2,2,West,15,50,Norfolk St,Florida,84,7,-34,34
2012,2,2,West,3,62,Marquette,Murray St,53,6,9,-9
2012,2,2,West,4,59,Louisville,New Mexico,58,5,1,-1
2012,2,3,East,1,75,Syracuse,Kansas St,59,8,16,-16
